,Clip,Activity,Assessment,Game,session_title,accumulated_correct_attempts,accumulated_uncorrect_attempts,duration_mean,accumulated_accuracy,accuracy_group,0,1,2,3,accumulated_accuracy_group,accumulated_actions
71,19,6,6,8,35,5,8,52.166666666666664,0.638888888888889,3,1,1,1,3,2.0,1579
72,19,6,7,8,12,6,8,47.142857142857146,0.6904761904761906,3,1,1,1,4,2.142857142857143,1592
73,46,8,1,7,12,0,0,21.0,0.0,0,1,0,0,0,0.0,1993
74,79,20,2,10,21,0,1,34.0,0.0,3,2,0,0,0,0.0,3628
75,80,21,3,10,20,1,1,34.666666666666664,0.3333333333333333,1,2,0,0,1,1.0,3754
76,7,1,0,2,35,0,0,0.0,0.0,3,0,0,0,0,0.0,571
77,13,5,1,8,8,1,0,15.0,1.0,2,0,0,0,1,3.0,2379
78,16,7,2,9,21,2,1,32.5,0.75,3,0,0,1,1,2.5,2767
79,19,8,4,11,20,3,1,25.25,0.625,3,1,0,1,2,2.0,3227
80,21,9,5,14,35,4,1,35.2,0.7,1,1,0,1,3,2.2,3666
81,23,10,6,16,12,5,3,37.833333333333336,0.638888888888889,3,1,1,1,3,2.0,4164
82,31,12,7,20,35,6,3,36.285714285714285,0.6904761904761906,3,1,1,1,4,2.142857142857143,5202
83,33,13,8,22,12,7,3,36.0,0.7291666666666667,1,1,1,1,5,2.25,5656
84,34,15,9,26,8,8,13,43.0,0.6582491582491583,3,1,2,1,5,2.111111111111111,6595
85,4,3,0,0,21,0,0,0.0,0.0,3,0,0,0,0,0.0,110
86,5,4,1,1,20,1,0,55.0,1.0,0,0,0,0,1,3.0,504
87,1,3,0,1,20,0,0,0.0,0.0,0,0,0,0,0,0.0,493
88,14,6,0,5,20,0,0,0.0,0.0,0,0,0,0,0,0.0,1466
89,5,0,0,1,35,0,0,0.0,0.0,3,0,0,0,0,0.0,74
90,6,1,1,3,12,1,0,34.0,1.0,0,0,0,0,1,3.0,291
91,7,2,2,4,12,1,4,52.0,0.5,0,1,0,0,1,1.5,545
92,16,4,3,9,35,1,6,53.0,0.3333333333333333,3,2,0,0,1,1.0,1820
93,17,5,4,10,12,2,6,49.5,0.5,0,2,0,0,2,1.5,2027
94,6,1,0,1,35,0,0,0.0,0.0,3,0,0,0,0,0.0,172
95,13,2,1,5,35,1,0,32.0,1.0,3,0,0,0,1,3.0,565
96,23,6,2,10,12,2,0,30.5,1.0,0,0,0,0,2,3.0,1768
97,23,6,3,10,21,2,7,41.333333333333336,0.6666666666666666,0,1,0,0,2,2.0,1813
98,28,10,4,17,12,2,8,45.75,0.5,0,2,0,0,2,1.5,3519
99,4,1,0,2,35,0,0,0.0,0.0,2,0,0,0,0,0.0,437
100,6,2,1,4,12,1,1,31.0,0.5,0,0,0,1,0,2.0,991
101,19,3,2,8,35,1,5,68.0,0.25,3,1,0,1,0,1.0,1511
102,21,4,3,10,12,2,5,51.666666666666664,0.5,0,1,0,1,1,1.6666666666666667,1687
103,30,7,4,15,8,2,7,45.0,0.375,3,2,0,1,1,1.25,2179
104,2,0,0,2,35,0,0,0.0,0.0,1,0,0,0,0,0.0,300
105,0,0,0,1,20,0,0,0.0,0.0,1,0,0,0,0,0.0,201
106,0,0,1,1,20,1,3,97.0,0.25,3,0,1,0,0,1.0,270
107,11,5,3,4,21,2,3,66.66666666666667,0.4166666666666667,1,1,1,0,1,1.3333333333333333,1199
108,11,1,0,3,35,0,0,0.0,0.0,3,0,0,0,0,0.0,408
109,13,2,2,5,12,1,0,16.5,0.5,0,1,0,0,1,1.5,1025
110,24,6,3,8,21,1,4,46.333333333333336,0.3333333333333333,3,2,0,0,1,1.0,2209
111,27,7,4,10,20,2,4,41.5,0.5,3,2,0,0,2,1.5,2611
112,30,8,5,12,35,3,4,53.0,0.6,3,2,0,0,3,1.8,3197
113,5,1,0,1,35,0,0,0.0,0.0,3,0,0,0,0,0.0,176
114,5,1,1,1,35,1,0,29.0,1.0,3,0,0,0,1,3.0,205
115,6,1,2,3,12,2,0,21.0,1.0,3,0,0,0,2,3.0,272
116,9,4,3,8,8,3,0,23.0,1.0,3,0,0,0,3,3.0,971
117,6,4,0,1,20,0,0,0.0,0.0,0,0,0,0,0,0.0,311
118,3,2,0,0,21,0,0,0.0,0.0,3,0,0,0,0,0.0,141
119,4,3,1,1,20,1,0,31.0,1.0,3,0,0,0,1,3.0,470
120,12,6,2,4,35,2,0,59.5,1.0,3,0,0,0,2,3.0,1193
121,13,7,3,5,12,3,0,44.666666666666664,1.0,0,0,0,0,3,3.0,1348
122,16,10,6,6,20,3,4,46.5,0.5,2,3,0,0,3,1.5,1824
123,18,14,7,8,8,4,5,49.42857142857143,0.5,2,3,0,1,3,1.5714285714285714,2360
124,3,3,0,5,35,0,0,0.0,0.0,3,0,0,0,0,0.0,625
125,4,3,1,8,12,1,0,37.0,1.0,2,0,0,0,1,3.0,771
126,4,3,2,8,21,2,1,60.0,0.75,3,0,0,1,1,2.5,833
127,5,3,3,10,20,3,1,1002.0,0.8333333333333334,3,0,0,1,2,2.6666666666666665,1094
128,3,0,0,0,35,0,0,0.0,0.0,0,0,0,0,0,0.0,3
129,5,0,1,0,21,0,2,80.0,0.0,3,1,0,0,0,0.0,111
130,6,1,3,0,35,1,2,38.666666666666664,0.3333333333333333,0,2,0,0,1,1.0,215
131,7,2,4,1,12,1,5,48.25,0.25,0,3,0,0,1,0.75,412
132,7,2,5,1,21,1,6,43.8,0.2,0,4,0,0,1,0.6,448
133,9,2,6,2,20,1,7,44.0,0.16666666666666666,0,5,0,0,1,0.5,748
134,10,3,7,3,8,1,13,44.142857142857146,0.14285714285714285,0,6,0,0,1,0.42857142857142855,1303
135,12,5,8,4,21,1,14,43.5,0.125,1,7,0,0,1,0.375,1820
136,13,6,9,5,20,2,16,44.333333333333336,0.14814814814814814,0,7,1,0,1,0.4444444444444444,2017
137,13,6,10,5,35,2,19,43.7,0.13333333333333333,3,8,1,0,1,0.4,2065
138,13,6,11,5,35,3,19,41.36363636363637,0.2121212121212121,1,8,1,0,2,0.6363636363636364,2079
139,15,8,12,5,8,4,21,42.25,0.2222222222222222,3,8,2,0,2,0.6666666666666666,2350
140,15,8,13,5,35,5,21,41.30769230769231,0.28205128205128205,3,8,2,0,3,0.8461538461538461,2390
141,16,9,14,5,12,6,21,41.57142857142857,0.3333333333333333,0,8,2,0,4,1.0,2505
142,3,2,0,2,8,0,0,0.0,0.0,2,0,0,0,0,0.0,446
143,6,3,1,3,35,1,1,25.0,0.5,3,0,0,1,0,2.0,713
144,7,4,2,3,12,2,1,20.5,0.75,0,0,0,1,1,2.5,852
145,10,8,3,5,21,2,2,9149.666666666666,0.5,0,1,0,1,1,1.6666666666666667,1211
146,19,13,4,8,8,2,4,6876.0,0.375,2,2,0,1,1,1.25,2484
147,9,5,0,3,21,0,0,0.0,0.0,3,0,0,0,0,0.0,715
148,25,11,1,6,21,1,0,31.0,1.0,3,0,0,0,1,3.0,2031
149,1,0,0,0,12,0,0,0.0,0.0,1,0,0,0,0,0.0,1
150,0,1,0,0,12,0,0,0.0,0.0,3,0,0,0,0,0.0,57
151,11,5,1,5,21,1,0,108.0,1.0,3,0,0,0,1,3.0,1111
152,16,7,2,8,8,2,0,72.5,1.0,0,0,0,0,2,3.0,1525
153,7,1,0,0,21,0,0,0.0,0.0,3,0,0,0,0,0.0,137
154,4,3,0,4,8,0,0,0.0,0.0,3,0,0,0,0,0.0,698
155,9,4,1,6,35,1,0,22.0,1.0,3,0,0,0,1,3.0,884
156,11,5,2,8,12,2,0,22.0,1.0,3,0,0,0,2,3.0,1249
157,3,1,0,2,8,0,0,0.0,0.0,3,0,0,0,0,0.0,318
158,3,1,1,2,8,1,0,27.0,1.0,3,0,0,0,1,3.0,364
159,3,2,2,2,12,2,0,28.0,1.0,0,0,0,0,2,3.0,482
160,5,2,3,4,21,2,7,39.0,0.6666666666666666,2,1,0,0,2,2.0,667
161,6,2,4,4,20,3,8,38.5,0.625,0,1,0,1,2,2.0,714
162,7,2,6,5,35,3,17,39.833333333333336,0.4166666666666667,3,3,0,1,2,1.3333333333333333,822
163,1,0,0,1,35,0,0,0.0,0.0,3,0,0,0,0,0.0,180
164,1,0,1,1,35,1,0,28.0,1.0,3,0,0,0,1,3.0,198
165,8,0,0,2,21,0,0,0.0,0.0,2,0,0,0,0,0.0,67
166,10,0,1,5,20,1,1,48.0,0.5,1,0,0,1,0,2.0,219
167,10,0,2,6,35,2,4,72.5,0.375,3,0,1,1,0,1.5,375
168,13,1,3,6,21,3,4,57.0,0.5833333333333334,2,0,1,1,1,2.0,460
169,3,1,0,1,35,0,0,0.0,0.0,3,0,0,0,0,0.0,39
170,4,1,1,2,12,1,0,80.0,1.0,0,0,0,0,1,3.0,139
171,5,2,2,2,8,1,3,72.0,0.5,2,1,0,0,1,1.5,400
172,7,3,3,2,20,2,4,60.666666666666664,0.5,1,1,0,1,1,1.6666666666666667,643
173,10,3,5,3,35,3,10,93.4,0.32857142857142857,0,2,1,1,1,1.2,967
174,3,2,0,1,21,0,0,0.0,0.0,3,0,0,0,0,0.0,124
175,4,3,1,3,20,1,0,39.0,1.0,3,0,0,0,1,3.0,402
176,6,4,2,5,35,2,0,37.5,1.0,3,0,0,0,2,3.0,605
177,7,5,3,7,12,3,0,33.333333333333336,1.0,3,0,0,0,3,3.0,852
178,11,8,4,13,8,4,0,33.5,1.0,3,0,0,0,4,3.0,1350
179,16,9,5,14,35,5,0,32.4,1.0,3,0,0,0,5,3.0,1438
180,17,9,6,16,12,6,0,32.666666666666664,1.0,3,0,0,0,6,3.0,1718
181,18,10,7,16,21,7,0,33.0,1.0,3,0,0,0,7,3.0,1799
182,20,11,8,18,20,8,0,32.375,1.0,3,0,0,0,8,3.0,2132
183,15,6,1,1,35,0,0,7.0,0.0,1,1,0,0,0,0.0,271
184,16,7,2,1,8,1,4,30.5,0.1,2,1,1,0,0,0.5,487
185,18,7,3,1,21,2,5,31.333333333333332,0.2333333333333333,3,1,1,1,0,1.0,523
186,19,7,4,1,20,3,5,33.25,0.425,0,1,1,1,1,1.5,564
187,19,7,5,1,20,3,6,29.2,0.33999999999999997,3,2,1,1,1,1.2,580
188,20,7,6,1,35,4,6,31.666666666666668,0.45,3,2,1,1,2,1.5,619
189,21,7,7,1,12,5,6,31.714285714285715,0.5285714285714286,2,2,1,1,3,1.7142857142857142,650
190,25,8,8,3,35,6,7,38.125,0.525,3,2,1,2,3,1.75,906
191,28,12,10,5,8,7,7,33.9,0.52,3,3,1,2,4,1.7,1432
192,28,12,11,6,20,8,7,33.45454545454545,0.5636363636363636,2,3,1,2,5,1.8181818181818181,1542
193,30,12,12,6,20,9,8,34.75,0.5583333333333333,3,3,1,3,5,1.8333333333333333,1581
194,35,12,13,7,35,10,8,34.46153846153846,0.5923076923076923,0,3,1,3,6,1.9230769230769231,1973
195,35,12,14,7,35,10,9,33.714285714285715,0.55,3,4,1,3,6,1.7857142857142858,2003
196,36,12,15,7,21,11,9,32.8,0.58,3,4,1,3,7,1.8666666666666667,2030
197,53,15,16,11,35,12,9,32.9375,0.60625,3,4,1,3,8,1.9375,2923
198,55,17,17,14,8,13,9,33.470588235294116,0.6294117647058823,3,4,1,3,9,2.0,3222
199,58,18,18,16,35,14,9,33.44444444444444,0.6499999999999999,3,4,1,3,10,2.0555555555555554,3527
200,59,18,19,16,12,15,9,34.526315789473685,0.6684210526315789,0,4,1,3,11,2.1052631578947367,3601
201,3,2,0,1,21,0,0,0.0,0.0,3,0,0,0,0,0.0,139
202,4,3,1,3,20,1,0,38.0,1.0,3,0,0,0,1,3.0,475
203,6,6,2,7,8,2,0,184.5,1.0,3,0,0,0,2,3.0,1501
204,8,7,3,9,35,3,0,137.33333333333334,1.0,3,0,0,0,3,3.0,1861
205,5,3,0,1,21,0,0,0.0,0.0,0,0,0,0,0,0.0,142
206,8,4,1,3,20,0,1,45.0,0.0,0,1,0,0,0,0.0,752
207,14,5,2,6,35,0,7,59.5,0.0,3,2,0,0,0,0.0,1083
208,16,6,3,8,12,1,7,47.666666666666664,0.3333333333333333,0,2,0,0,1,1.0,1440
209,17,8,4,13,8,1,9,46.25,0.25,1,3,0,0,1,0.75,2363
210,20,8,5,13,21,2,12,50.0,0.25,2,3,1,0,1,0.8,2433
211,23,9,6,14,20,3,13,49.5,0.2916666666666667,0,3,1,1,1,1.0,2838
212,30,10,7,15,21,3,15,47.42857142857143,0.25,1,4,1,1,1,0.8571428571428571,2993
213,33,11,9,16,20,4,17,41.44444444444444,0.2314814814814815,2,5,2,1,1,0.7777777777777778,3296
214,1,1,0,1,8,0,0,0.0,0.0,1,0,0,0,0,0.0,98
215,1,1,1,1,8,1,2,47.0,0.3333333333333333,3,0,1,0,0,1.0,151
216,1,1,2,1,8,2,2,38.0,0.6666666666666666,3,0,1,0,1,2.0,185
217,6,0,0,0,35,0,0,0.0,0.0,3,0,0,0,0,0.0,6
218,7,0,1,1,12,1,0,96.0,1.0,0,0,0,0,1,3.0,169
219,7,0,2,1,8,1,1,78.5,0.5,2,1,0,0,1,1.5,227
220,8,1,3,3,20,2,2,68.33333333333333,0.5,0,1,0,1,1,1.6666666666666667,514
221,8,1,5,3,35,2,3,46.2,0.3,3,3,0,1,1,1.0,542
222,4,3,0,1,21,0,0,0.0,0.0,1,0,0,0,0,0.0,146
223,7,8,1,5,35,1,3,74.0,0.25,0,0,1,0,0,1.0,1702
224,8,10,2,6,12,1,4,131.5,0.125,3,1,1,0,0,0.5,1908
225,12,19,3,7,21,2,4,98.66666666666667,0.4166666666666667,0,1,1,0,1,1.3333333333333333,2174
226,18,25,4,12,8,2,5,84.25,0.3125,3,2,1,0,1,1.0,3276
227,20,26,5,14,35,3,5,73.8,0.45,0,2,1,0,2,1.4,3753
228,21,27,6,15,12,3,10,73.5,0.375,0,3,1,0,2,1.1666666666666667,4043
229,22,29,7,15,21,3,13,68.14285714285714,0.32142857142857145,1,4,1,0,2,1.0,4137
230,23,30,8,16,20,4,15,69.5,0.3229166666666667,1,4,2,0,2,1.0,4429
231,24,33,9,16,8,5,17,71.88888888888889,0.3240740740740741,3,4,3,0,2,1.0,4663
232,25,33,10,16,35,6,17,69.0,0.3916666666666667,0,4,3,0,3,1.2,4726
233,26,34,11,16,12,6,18,65.18181818181819,0.3560606060606061,3,5,3,0,3,1.0909090909090908,4796
234,7,3,0,1,8,0,0,0.0,0.0,3,0,0,0,0,0.0,354
235,9,6,1,2,21,1,0,30.0,1.0,3,0,0,0,1,3.0,1349
236,9,6,2,2,21,2,0,2095.0,1.0,3,0,0,0,2,3.0,1402
237,10,6,3,2,20,3,0,1405.6666666666667,1.0,1,0,0,0,3,3.0,1445
238,12,6,4,2,35,4,2,1067.0,0.8333333333333334,3,0,1,0,3,2.5,1509
239,16,6,5,2,35,5,2,860.8,0.8666666666666668,3,0,1,0,4,2.6,1556
240,17,6,6,3,12,6,2,721.5,0.888888888888889,0,0,1,0,5,2.6666666666666665,1692
241,18,6,7,3,8,6,7,627.7142857142857,0.761904761904762,3,1,1,0,5,2.2857142857142856,1759
242,19,6,8,3,21,7,7,552.375,0.7916666666666667,3,1,1,0,6,2.375,1793
243,19,6,9,3,20,8,7,493.77777777777777,0.8148148148148149,1,1,1,0,7,2.4444444444444446,1830
244,22,6,11,3,35,9,9,407.54545454545456,0.696969696969697,3,2,2,0,7,2.090909090909091,1880
245,27,6,12,3,21,10,9,375.4166666666667,0.7222222222222223,3,2,2,0,8,2.1666666666666665,1913
246,28,6,13,3,20,11,9,348.84615384615387,0.7435897435897437,3,2,2,0,9,2.230769230769231,1952
247,31,6,14,3,35,12,9,326.7142857142857,0.761904761904762,3,2,2,0,10,2.2857142857142856,1996
248,31,6,15,3,35,13,9,307.6,0.7777777777777779,1,2,2,0,11,2.3333333333333335,2030
249,31,6,16,3,35,14,12,289.8125,0.7447916666666667,3,2,3,0,11,2.25,2063
250,9,2,0,2,35,0,0,0.0,0.0,3,0,0,0,0,0.0,330
251,10,3,1,4,12,1,0,31.0,1.0,2,0,0,0,1,3.0,642
252,15,2,0,2,8,0,0,0.0,0.0,3,0,0,0,0,0.0,99
253,41,6,1,7,21,1,0,33.0,1.0,0,0,0,0,1,3.0,1109
254,49,6,2,7,12,1,3,45.0,0.5,0,1,0,0,1,1.5,1196
255,63,9,3,9,21,1,5,42.0,0.3333333333333333,3,2,0,0,1,1.0,2036
256,65,9,4,9,20,2,5,40.5,0.5,2,2,0,0,2,1.5,2073
257,70,9,5,12,35,3,6,45.2,0.5,3,2,0,1,2,1.6,2482
258,10,3,0,4,35,0,0,0.0,0.0,3,0,0,0,0,0.0,870
259,11,4,1,6,12,1,0,35.0,1.0,0,0,0,0,1,3.0,1228
260,3,4,0,3,8,0,0,0.0,0.0,3,0,0,0,0,0.0,501
261,3,4,1,3,8,1,0,49.0,1.0,3,0,0,0,1,3.0,536
262,5,4,2,4,21,2,0,39.0,1.0,3,0,0,0,2,3.0,568
263,10,4,3,5,35,3,0,39.666666666666664,1.0,3,0,0,0,3,3.0,691
264,11,5,4,7,12,4,0,41.0,1.0,0,0,0,0,4,3.0,905
265,18,5,5,8,8,4,5,48.4,0.8,3,1,0,0,4,2.4,1041
266,25,5,6,8,35,5,5,44.833333333333336,0.8333333333333334,3,1,0,0,5,2.5,1076
267,26,5,7,8,12,6,5,43.42857142857143,0.8571428571428571,2,1,0,0,6,2.5714285714285716,1107
268,12,1,0,1,21,0,0,0.0,0.0,2,0,0,0,0,0.0,168
269,12,1,1,1,21,1,1,75.0,0.5,3,0,0,1,0,2.0,245
270,12,1,2,1,21,2,1,51.0,0.75,3,0,0,1,1,2.5,278
271,12,1,3,1,21,3,1,43.666666666666664,0.8333333333333334,0,0,0,1,2,2.6666666666666665,314
272,5,2,0,2,8,0,0,0.0,0.0,3,0,0,0,0,0.0,583
273,45,21,1,34,8,1,0,63.0,1.0,1,0,0,0,1,3.0,4404
274,45,21,2,34,8,2,2,71.0,0.6666666666666666,3,0,1,0,1,2.0,4467
275,49,26,3,40,8,3,2,57.666666666666664,0.7777777777777777,1,0,1,0,2,2.3333333333333335,5009
276,3,0,0,0,8,0,0,0.0,0.0,2,0,0,0,0,0.0,3
277,0,0,0,0,12,0,0,0.0,0.0,0,0,0,0,0,0.0,0
278,1,1,1,0,21,0,7,130.0,0.0,3,1,0,0,0,0.0,296
279,3,0,0,0,21,0,0,0.0,0.0,3,0,0,0,0,0.0,3
280,3,0,1,0,21,1,0,27.0,1.0,3,0,0,0,1,3.0,60
281,3,0,2,0,20,2,0,28.0,1.0,3,0,0,0,2,3.0,98
282,3,0,3,0,35,3,0,35.666666666666664,1.0,3,0,0,0,3,3.0,148
283,4,0,4,0,12,4,0,34.25,1.0,3,0,0,0,4,3.0,180
284,4,0,5,0,8,5,0,32.8,1.0,3,0,0,0,5,3.0,215
285,8,0,6,0,35,6,0,31.666666666666668,1.0,3,0,0,0,6,3.0,250
286,8,0,7,0,35,7,0,31.428571428571427,1.0,2,0,0,0,7,3.0,280
287,4,1,0,1,8,0,0,0.0,0.0,3,0,0,0,0,0.0,210
288,8,3,0,5,35,0,0,0.0,0.0,3,0,0,0,0,0.0,601
289,10,4,1,7,12,1,0,28.0,1.0,2,0,0,0,1,3.0,866
290,1,2,0,0,21,0,0,0.0,0.0,3,0,0,0,0,0.0,71
291,2,2,1,1,20,1,0,37.0,1.0,2,0,0,0,1,3.0,186
292,7,5,0,2,8,0,0,0.0,0.0,3,0,0,0,0,0.0,755
293,7,5,1,2,8,1,0,39.0,1.0,2,0,0,0,1,3.0,795
294,10,5,2,2,35,2,1,33.0,0.75,3,0,0,1,1,2.5,839
295,11,6,3,4,12,3,1,32.0,0.8333333333333334,0,0,0,1,2,2.6666666666666665,1114
296,3,2,0,0,8,0,0,0.0,0.0,3,0,0,0,0,0.0,94
297,7,3,0,4,8,0,0,0.0,0.0,0,0,0,0,0,0.0,712
298,34,11,1,17,35,0,3,54.0,0.0,0,1,0,0,0,0.0,4055
299,61,20,2,25,8,0,7,120.0,0.0,3,2,0,0,0,0.0,5934
300,62,20,3,25,8,1,7,91.0,0.3333333333333333,3,2,0,0,1,1.0,5966
301,65,20,4,26,35,2,7,76.5,0.5,3,2,0,0,2,1.5,6104
302,67,21,5,27,21,3,7,70.4,0.6,0,2,0,0,3,1.8,6287
303,72,24,6,28,8,3,9,64.5,0.5,2,3,0,0,3,1.5,6607
304,72,24,7,28,8,4,10,65.42857142857143,0.5,2,3,0,1,3,1.5714285714285714,6652
305,3,0,0,0,35,0,0,0.0,0.0,0,0,0,0,0,0.0,3
306,3,1,1,0,8,0,1,15.0,0.0,3,1,0,0,0,0.0,191
307,6,2,2,0,21,1,1,18.5,0.5,3,1,0,0,1,1.5,283
308,7,3,3,0,20,2,1,21.0,0.6666666666666666,2,1,0,0,2,2.0,509
309,10,4,4,0,8,3,2,28.75,0.625,3,1,0,1,2,2.0,641
310,12,4,6,0,35,4,2,23.0,0.5833333333333334,3,2,0,1,3,1.8333333333333333,668
311,13,4,7,1,12,5,2,21.857142857142858,0.6428571428571429,0,2,0,1,4,2.0,943
312,15,5,8,1,21,5,4,23.0,0.5625,3,3,0,1,4,1.75,1114
313,17,6,9,1,20,6,4,23.444444444444443,0.6111111111111112,1,3,0,1,5,1.8888888888888888,1286
314,22,7,10,1,8,7,6,33.1,0.5833333333333333,3,3,1,1,5,1.8,1534
